Nombre,Código UTA 2020,Código UTA 2010,Latitud,Longitud,Municipio,Departamento,Provincia,Superficie en km²,Población,Densidad Poblacional hab/km²,Ruta raiz de servicos OWS,Capa,Filtros de la Capa
LA ESCONDIDA,2.2056E+14,2.2056E+14,-27.10732485,-59.44753251,LA ESCONDIDA,GENERAL DONOVAN,CHACO,,,,,,
KILOMETRO 548,2.2056E+14,2.2056E+14,-27.09668174,-59.42115105,LA ESCONDIDA,GENERAL DONOVAN,CHACO,,,,,,
COLONIA EL CACIQUE LLORON,2.2056E+14,2.2056E+14,-27.04859208,-59.43743593,LA ESCONDIDA,GENERAL DONOVAN,CHACO,,,,,,
LEGUA 41,2.2056E+14,2.2056E+14,-27.08111444,-59.38577581,LA ESCONDIDA,GENERAL DONOVAN,CHACO,,,,,,
LAS CHACRAS,1.4049E+14,1.4049E+14,-30.28576787,-64.37897808,QUILINO,ISCHILIN,CÓRDOBA,,,,,,
LOS CADILLOS,1.4049E+14,1.4049E+14,-30.10186689,-64.45199984,QUILINO,ISCHILIN,CÓRDOBA,,,,,,
VILLA QUILINO,1.4049E+14,1.4049E+14,-30.21011575,-64.47756742,QUILINO,ISCHILIN,CÓRDOBA,,,,,,
QUILINO,1.4049E+14,1.4049E+14,-30.21595522,-64.5029777,QUILINO,ISCHILIN,CÓRDOBA,,,,,,
CARRENLEUFU,2.60568E+14,2.60568E+14,-43.58568854,-71.70090202,CARRENLEUFU,LANGUIÑEO,CHUBUT,,,,,,
LAGO BLANCO,2.60848E+14,2.60848E+14,-45.94685942,-71.26411066,LAGO BLANCO,RIO SENGUER,CHUBUT,,,,,,
VILLA SANTOS TESEI,6.40804E+13,6.40804E+13,-34.61239445,-58.65381037,HURLINGHAM,HURLINGHAM,BUENOS AIRES,,,,,,
HURLINGHAM,6.40804E+13,6.40804E+13,-34.59309314,-58.63572095,HURLINGHAM,HURLINGHAM,BUENOS AIRES,,,,,,
WILLIAM C. MORRIS,6.40804E+13,6.40804E+13,-34.58156228,-58.65830054,HURLINGHAM,HURLINGHAM,BUENOS AIRES,,,,,,
ORATORIO MORANTE,8.20282E+14,8.20282E+14,-33.4335022,-60.40251923,GODOY,CONSTITUCION,SANTA FE,,,,,,
GODOY,8.20282E+14,8.20282E+14,-33.36970987,-60.50941302,GODOY,CONSTITUCION,SANTA FE,,,,,,
CAMPO LA VICTORIA,8.20282E+14,8.20282E+14,-33.4061679,-60.4776607,GODOY,CONSTITUCION,SANTA FE,,,,,,
VILLA MERCEDES,7.4035E+14,7.4035E+14,-33.67736978,-65.47314337,VILLA MERCEDES,GENERAL PEDERNERA,SAN LUIS,,,,,,
LA RIVERA,7.4035E+14,7.4035E+14,-33.69417366,-65.50389419,VILLA MERCEDES,GENERAL PEDERNERA,SAN LUIS,,,,,,
DIQUE VULPIANI,7.4035E+14,7.4035E+14,-33.66154699,-65.53572689,VILLA MERCEDES,GENERAL PEDERNERA,SAN LUIS,,,,,,
LA RIBERA,7.4035E+14,7.4035E+14,-33.69181223,-65.50073106,VILLA MERCEDES,GENERAL PEDERNERA,SAN LUIS,,,,,,
SAN FRANCISCO DE ALFARCITO,3.80076E+14,3.80076E+14,-23.27530252,-65.94638046,BARRANCAS,COCHINOCA,JUJUY,,,,,,
SANTA ANA DE LA PUNA,3.80076E+14,3.80076E+14,-23.1466006,-66.03210333,BARRANCAS,COCHINOCA,JUJUY,,,,,,
TUSAQUILLAS,3.80076E+14,3.80076E+14,-23.17094554,-65.9732428,BARRANCAS,COCHINOCA,JUJUY,,,,,,
SANTA ANA,3.80076E+14,3.80076E+14,-23.1474247,-66.03121948,BARRANCAS,COCHINOCA,JUJUY,,,,,,
TRANCAS,3.80076E+14,3.80076E+14,-23.04800797,-66.13256073,BARRANCAS,COCHINOCA,JUJUY,,,,,,
RINCONADILLAS,3.80076E+14,3.80076E+14,-23.28866435,-65.94123354,BARRANCAS,COCHINOCA,JUJUY,,,,,,
SALADO,3.80076E+14,3.80076E+14,-23.04861069,-66.09285736,BARRANCAS,COCHINOCA,JUJUY,,,,,,
ABDON CASTRO TOLAY,3.80076E+14,3.80076E+14,-23.3386411,-66.09014323,BARRANCAS,COCHINOCA,JUJUY,,,,,,
SANTUARIO DE TRES POZOS,3.80076E+14,3.80076E+14,-23.51550696,-65.94761287,BARRANCAS,COCHINOCA,JUJUY,,,,,,
TOLARITO,3.80076E+14,3.80076E+14,-23.29167366,-66.08133698,BARRANCAS,COCHINOCA,JUJUY,,,,,,
28 DE JULIO,2.60425E+14,2.60425E+14,-43.38097713,-65.83868774,28 DE JULIO,GAIMAN,CHUBUT,,,,,,
NAUPA HUEN,6.20355E+14,6.20355E+14,-39.82828459,-69.50897269,NAUPA HUEN,EL CUY,RÍO NEGRO,,,,,,
CHILCA JULIANA,8.61686E+14,8.61686E+14,-28.80748336,-63.48677734,CHILCA JULIANA,SALAVINA,SANTIAGO DEL ESTERO,,,,,,
EL MANZANO,5.0077E+14,5.0077E+14,-36.107008,-69.761199,MALARGUE,MALARGUE,MENDOZA,,,,,,
LAS CHACRAS,5.0077E+14,5.0077E+14,-36.18867493,-69.66440582,MALARGUE,MALARGUE,MENDOZA,,,,,,
MALARGUE,5.0077E+14,5.0077E+14,-35.47701071,-69.58864919,MALARGUE,MALARGUE,MENDOZA,,,,,,
LA JUNTA,5.0077E+14,5.0077E+14,-35.2675837,-69.50030017,MALARGUE,MALARGUE,MENDOZA,,,,,,
LUANCO,5.0077E+14,5.0077E+14,-37.18549347,-68.39237213,MALARGUE,MALARGUE,MENDOZA,,,,,,
LAS LEÑAS,5.0077E+14,5.0077E+14,-35.15396508,-70.0817911,MALARGUE,MALARGUE,MENDOZA,,,,,,
EL CHACAY,5.0077E+14,5.0077E+14,-35.35740405,-69.58238523,MALARGUE,MALARGUE,MENDOZA,,,,,,
AGUA ESCONDIDA,5.0077E+14,5.0077E+14,-36.15323904,-68.30484285,MALARGUE,MALARGUE,MENDOZA,,,,,,
MINACAR,5.0077E+14,5.0077E+14,-35.86965561,-70.06924439,MALARGUE,MALARGUE,MENDOZA,,,,,,
